campus,borough2,school_corrected
MS 328 MANHATTAN MIDDLE SCHOOL FOR SCIENTIFIC INQUIRY,MANHATTAN,
TITO PUENTE EDUCATION COMPLEX,MANHATTAN,
YOUNG WOMEN LEADERSHIP SCHOOL/MANHATTAN CAMPUS,MANHATTAN,
DEWITT CLINTON HS GED,BRONX,
FDNY HS FOR FIRE & LIFE SAFETY,BROOKLYN,
NEW UTRECHT EVENING HS M/W,BROOKLYN,
PAN AMERICAN INTERNATIONAL HS@MONROE,BRONX,
"THE HS FOR ENTERPRISE, BUSINESS, & TECHNOLOGY",BROOKLYN,
47 THE AMERICAN SIGN LANGUAGE & ENGLISH SECONDARY SCHOOL,MANHATTAN,47 THE AMERICAN SIGN LANGUAGE AND ENGLISH DUAL LAN
ALTERNATE LEARNING CENTER RENAISSANCE CENTER,BROOKLYN,
BRONX COLLABORATIVE HIGH SCHOOL ,BRONX,
ENERGY TECH HS,QUEENS,
HAWTREE CREEK MIDDLE SCHOOL,QUEENS,
JOHN DEWEY GED,BROOKLYN,
LEADERSHIP PREP BEDFORD STUYVESANT CHARTER SCHOOL,BROOKLYN,
MANHATTAN COMPREHENSIVE DAY & NIGHT HS,MANHATTAN,
NEW DIRECTIONS SECONDARY SCHOOL,,
NEW VISIONS A.I.M. CHARTER HIGH SCHOOL I,,
P721 OTC,BROOKLYN,
MATHEMATICS SCIENCE RESEARCH & TECHNOLOGY MAGNET HS,QUEENS,
P37 ANNEX,STATEN ISLAND,
PS/IS 210 21ST CENTURY ACADEMY FOR COMMUNITY LEADERSHIP,MANHATTAN,
RENAISSANCE HIGH SCHOOL OF MUSICAL THEATER AND TECHNOLOGY,BRONX,
RICHARD R. GREEN HS OF TEACHING,MANHATTAN,
THE URBAN ASSEMBLY SCHOOL FOR EMERGENCY MANAGEMENT,MANHATTAN,
VERITAS ACADEMY,QUEENS,
VOYAGES PREP SOUTH QUEENS,QUEENS,
BROOKLYN NORTH BOROUGH OFFICE,,
CORONA ARTS & SCIENCES ACADEMY,QUEENS,
EAST NEW YORK ARTS AND CIVICS HIGH SCHOOL,,
HS FOR ENERGY & TECHNOLOGY,BRONX,
HS FOR HEALTH CAREERS & SCIENCES,MANHATTAN,
HS FOR PUBLIC SERVICE HEROES OF TOMORROW,BROOKLYN,
HS FOR SERVICE & LEARNING@ERASMUS,BROOKLYN,
LENOX ACADEMY,BROOKLYN,
P17@IS184,BRONX,
R119@ST. RITA SCHOOL,,
ROCKAWAY PARK HS FOR ENVIRONMENTAL SUSTAINABILITY,QUEENS,
THE BRONX COMPASS HIGH SCHOOL ,BRONX,
THE RIVERVIEW SCHOOL,QUEENS,
CHRISTOPHER COLUMBUS HS YABC,BRONX,
CITY AS SCHOOL LOWER MANHATTAN OUTREACH,MANHATTAN,HIGH SCHOOL M560  CITY AS SCHOOL
CSI HS FOR INTERNATIONAL STUDIES,STATEN ISLAND,
EBC HS FOR PUBLIC SERVICE BUSHWICK,BROOKLYN,
FORSYTH SATELLITE ACADEMY,MANHATTAN,
GREGORIO LUPERON HS FOR SCIENCE & MATHEMATICS,MANHATTAN,
ISAAC NEWTON JHS FOR SCIENCE & MATH,MANHATTAN,
MS 260M - CLINTON SCHOOL FOR WRITERS & ARTIST,,
P811 CMHC,BROOKLYN,
P9@WALTER REED SCHOOL,QUEENS,
QUEENS HS FOR LANGUAGE STUDIES,QUEENS,
SCHUYLERVILLE PREPARATORY HIGH SCHOOL ,BRONX,
SKILLMAN HIGH SCHOOL@P4,QUEENS,
STEPHEN T. MATHER BUILDING ARTS & CRAFTSMANSHIP HS,MANHATTAN,
SUCCESS ACADEMY WASHINGTON HEIGHTS,MANHATTAN,
THE HIGHBRIDGE GREEN SCHOOL,BRONX,
"THE QUEENS COLLEGE SCHOOL FOR MATH,SCIENCE, AND TECHNOLOGY",QUEENS,
UNIVERSITY PREP CHARTER MIDDLE SCHOOL,,
WOMENS ACADEMY OF EXCELLENCE,BRONX,
WORLD ACADEMY FOR TOTAL COMMUNITY HEALTH HS-WATCH,BROOKLYN,
A-TECH HIGH SCHOOL-,BROOKLYN,AUTOMOTIVE HIGH SCHOOL
BENJAMIN FRANKLIN HS FOR FINANCE AND INFORMATION TECHNOLOGY,QUEENS,
BROOKLYN ACADEMY OF SCIENCE & THE ENVIRONMENT BASE,BROOKLYN,
BROOKLYN HS FOR LEADERSHIP & COMMUNITY SERVICE,BROOKLYN,
INSTITUTE FOR HEALTH PROFESSIONS AT CAMBRIA HEIGHTS,QUEENS,
IS/JHS 141,BRONX,
JOHN F. KENNEDY GED,BRONX,
LIBERTY HS ACADEMY FOR NEWCOMERS,MANHATTAN,LIBERTY HIGH SCHOOL ACADEMY FOR NEWCOMERS
P4@P179,QUEENS,
PS/IS 208  GLEN OAKS CAMPUS,QUEENS,PS  IS 208
STEVENSON ANNEX@SOUNDVIEW EDUCATIONAL CAMPUS,BRONX,
SUCCESS ACADEMY CHARTER SCHOOL - BED-STUY 1,BROOKLYN,
SUCCESS ACADEMY HARLEM CENTRAL,MANHATTAN,
THE HIGH SCHOOL FOR CLIMATE JUSTICE,,
"THE SCHOOL FOR CLASSICS:ACADEMY OF THINKERS,WRITERS & PERFORMERS",,
WASHINGTON IRVING EVENING M/W,MANHATTAN,
ALTERNATE LEARNING CENTER OF PROSPECT PLACE,BROOKLYN,
BROOKLYN SCIENCE AND ENGINEERING ACADEMY,BROOKLYN,
CITY KNOLL MIDDLE SCHOOL ,02M933,
CONEY ISLAND PREP MIDDLE SCHOOL,BROOKLYN,
DOCK STREET SCHOOL,BROOKLYN,
FOOD & FINANCE HS,MANHATTAN,
HS FOR YOUTH & COMMUNITY DEVELOPMENT@ERASMUS,BROOKLYN,
HUNTERS POINT COMMUNITY MIDDLE SCHOOL,,
IS/JHS 187,BROOKLYN,
M751-MANHATTAN SCHOOL FOR CAREER DEV.@PS/IS 323M,,
MANHATTAN ALC BATTERY PARK,MANHATTAN,
MID MANHATTAN ADULT TRAINING CENTER,MANHATTAN,
